schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,content.description,collectedAt
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/deepreach-inc,DeepReach Inc.,,DeepReach builds a network of wearable stereo capture devices and local data partners to collect real-world physical-AI training data.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/moving-atoms,Moving Atoms,,Moving Atoms trains a video foundation model fine-tuned for physics to let robotics teams train on GPUs instead of manual data.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/tenor,Tenor,,"Tenor builds infrastructure so domain experts can build, run, and scale AI-native service businesses.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/simulithic,Simulithic,,Simulithic builds simulations of real users grounded in session data to predict how product changes will perform.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/vorelios,Vorelios,,"Vorelios builds foundation models that learn physics end-to-end to replace slow, costly engineering simulations.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/enact,Enact,,Enact creates physical environments to benchmark and hill-climb robotics models on high-value tasks.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/mosaic-inc,Mosaic,,Mosaic gives teams and their coding agents shared memory across sessions for real-time collaborative coding.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/erinys,Erinys,,"Erinys provides the technology, intake, and back office needed to launch and scale an AI-native law firm.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/marengo,Marengo,,Marengo is an AI-native engineering firm designing data centers in half the time and cost of traditional firms.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/prodigy-research,Prodigy Research,,Prodigy is an AI trading research lab that has trained a foundation model for quantitative finance.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/dawn-industries,Dawn Industries,,"Dawn Industries' VIM product connects to factory equipment to find faults, stage fixes, and recommend corrections in real time.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/hebbian-robotics,Hebbian Robotics,,Hebbian Robotics builds APIs for robotics data teams to verify data quality for model training.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/qlo,Qlo,,"Qlo builds AI agents to run commercial insurance underwriting, automating the operational work around risk decisions.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/neuromorphic,Neuromorphic,,Neuromorphic builds robots that work autonomously in existing wet labs alongside human technicians.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/jcode,Jcode,,"Jcode researches and builds AI agent harnesses, the software layer that wraps an LLM into a working coding agent.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/useforward,Forward,,Forward is an AI platform connecting commercial debt advisors with mandate-matching private credit funds.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/click,Click,,Click builds services inside ChatGPT and Claude that provide external research context beyond built-in web search.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/agent-fm,Agent FM,,Agent FM is a desktop app giving engineers one group chat to hear and steer their coding agents.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/riften,Riften,,"Riften is a gateway that routes a company's AI traffic to the lowest-cost model, building toward company-owned private models.",2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/qokedas,Qokedas,,Qokedas turns real-world signals not found on the internet into training data to make science models better.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/omanta,Omanta,,Omanta is a personalized research lab operationalizing patient-specific research programs across oncology and rare disease.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/rasyn,Rasyn,,Rasyn builds foundational AI models for chemistry to design new chemical formulations in weeks instead of years.,2026-09-12T12:22:12.680168+00:00
1.0,PRODUCT,Y Combinator Startup Directory,https://www.ycombinator.com/companies/impact-drones,IMPACT Drones,,IMPACT builds autonomous interceptor drones shipped in sealed containers to protect sites like data centers and power grids.,2026-09-12T12:22:12.680168+00:00
